distance(meters),Speed(m/s),duration(minutes),Congestion,label_enc_road
831,3.957142857142857,4,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,4.616666666666666,3,0,12
831,4.616666666666666,3,0,12
831,4.616666666666666,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,6.925,2,0,12
831,5.54,2,0,12
831,5.54,3,0,12
831,5.54,2,0,12
831,5.54,3,0,12
831,4.616666666666666,3,0,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,3.4625,4,2,12
831,3.4625,4,2,12
831,3.4625,4,2,12
831,3.4625,4,2,12
831,3.957142857142857,4,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,4,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,4.616666666666666,3,0,12
831,4.616666666666666,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,4.616666666666666,3,0,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,3.4625,4,2,12
831,3.4625,4,2,12
831,3.4625,4,2,12
831,3.957142857142857,3,1,12
831,3.957142857142857,4,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,4,1,12
831,3.957142857142857,4,1,12
831,3.957142857142857,4,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,4.616666666666666,3,0,12
831,4.616666666666666,3,0,12
831,5.54,3,0,12
831,4.616666666666666,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,5.54,3,0,12
831,4.616666666666666,3,0,12
831,4.616666666666666,3,0,12
831,3.957142857142857,3,1,12
831,3.4625,4,2,12
831,3.957142857142857,4,1,12
831,3.4625,4,2,12
831,3.957142857142857,4,1,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
831,4.616666666666666,3,0,12
831,3.957142857142857,3,1,12
831,3.957142857142857,3,1,12
